macro_id,macro_name_ko,macro_name_en,macro_type
M_001,환율상승,FX Rate Increase,MacroEcon
M_002,곡물가안정,Grain Price Stabilization,MacroEcon
M_003,환율하락,FX Rate Decline,MacroEcon
M_004,내수경기,Domestic Economic Conditions,MacroEcon
M_005,합병기대,M&A Expectations,Event
M_006,상법개정,Commercial Act Revision,Policy
M_007,AI투자로해자강화,AI Investment Strengthens Moat,GrowthDriver
M_008,범용AI대체공포,General-purpose AI Displacement Fear,Sentiment
M_009,AI발무용화오해,AI-driven Commoditization Misinterpretation,Sentiment
M_010,국가주도,State-led Strategy,Policy
M_011,정책이벤트민감,Policy Event Sensitivity,Policy
M_012,TPU미공개,TPU Non-disclosure,Regulation
M_013,AI반도체자회사IP통제,AI Semiconductor Subsidiary IP Control,Regulation
M_017,엔비디아루빈개발,Next-gen GPU roadmap (Rubin),GrowthDriver
M_018,피지컬AI확산,Physical AI Expansion,Technology
M_019,AI추론확산,AI Inference Proliferation,Technology
M_020,EV보급확대,EV Adoption Expansion,GrowthDriver
M_021,자율주행보급확대,Autonomous Driving Adoption Expansion,GrowthDriver
M_022,이동형로봇확산,Mobile Robot Expansion,Technology
M_023,휴머노이드확산,HumanoidExpansion,GrowthDriver
M_024,가스터빈수요증가,GasTurbineDemandIncrease,Demand
M_025,항공우주산업확대,AerospaceIndustryExpansion,Demand
M_026,방산수요증가,DefenseDemandIncrease,Demand
M_027,원전확대,NuclearExpansion,Policy
M_028,자동화확산,AutomationExpansion,GrowthDriver
M_029,로봇유지보수증가,IncreaseInRobotMaintenance,Demand
M_030,미국대중국수출규제,US Export Controls on China,Regulation
M_031,엔비디아대체수요,Substitute Demand for NVIDIA,Demand
M_032,딥시크모멘텀,DeepSeek Momentum,Sentiment
M_033,미중패권경쟁,US-China Strategic Rivalry,Geopolitics
M_034,LLM확산,LLM Proliferation,Technology
M_035,AI데이터센터전력수요증가,AI Data Center Power Demand Increase,Demand
M_036,글로벌여행수요,Global Travel Demand,Demand
M_037,유가하락,Oil Price Decline,MacroEcon
M_038,반독점규제,Antitrust Regulation,Policy
M_039,중국내수소비,China Domestic Consumption,Demand
M_040,K양극화,K-shaped Polarization,MacroEcon
M_041,단기금리인상,Short-term Rate Hike,MacroEcon
M_042,USDC발행잔액,USDC Outstanding Supply,Demand
M_043,암호화폐거래량,Crypto Trading Volume,Demand
M_044,정부정책자금,Government Policy Funding,Policy
M_045,IPO회수,IPO Exit,Demand
M_046,곡물가인상,Grain Price Increase,MacroEcon
